PIB Municipal (valor adicionado a preços básicos) - serviços - administração, defesa, educação e saúde públicas e seguridade social (preços de 2010)
Sigla,Código,Município,2021,
BA,2908101,Cocos,37075.2353338361,
BA,2908200,Conceição da Feira,44012.9252666197,
BA,2908309,Conceição do Almeida,31408.1948423818,
BA,2908408,Conceição do Coité,115810.220389199,
BA,2908507,Conceição do Jacuípe,68369.5291976417,
BA,2908606,Conde,55342.3381766357,
BA,2908705,Condeúba,34023.7160840308,
BA,2908804,Contendas do Sincorá,9306.73692571031,
BA,2908903,Coração de Maria,45427.8181603262,
BA,2909000,Cordeiros,16691.6282415922,
BA,2909109,Coribe,24366.4068840962,
BA,2909208,Coronel João Sá,39366.7923167478,
BA,2909307,Correntina,90568.0830304765,
BA,2909406,Cotegipe,29372.4482539772,
BA,2909505,Cravolândia,11215.0451241506,
BA,2909604,Crisópolis,43446.2212174742,
BA,2909703,Cristópolis,28466.8421128387,
BA,2909802,Cruz das Almas,114428.937620319,
BA,2909901,Curaçá,66254.4253700652,
BA,2910008,Dário Meira,28554.1350759279,
BA,2910057,Dias d'Ávila,150565.42349548,
BA,2910107,Dom Basílio,24200.2234891244,
BA,2910206,Dom Macedo Costa,8498.69350802437,
BA,2910305,Elísio Medrado,16264.9663792208,
BA,2910404,Encruzilhada,39481.6269099025,
BA,2910503,Entre Rios,81034.4777621924,
BA,2910602,Esplanada,78930.5773095577,
BA,2910701,Euclides da Cunha,105805.606566065,
BA,2910727,Eunápolis,225416.105097022,
BA,2910750,Fátima,35809.7207726884,
BA,2910776,Feira da Mata,12041.7608334064,
BA,2910800,Feira de Santana,901470.69536305,
BA,2910859,Filadélfia,30820.0176579311,
BA,2910909,Firmino Alves,13304.9413581078,
BA,2911006,Floresta Azul,21115.0941144934,
BA,2911105,Formosa do Rio Preto,62767.3749193928,
BA,2911204,Gandu,59057.1905844604,
BA,2911253,Gavião,10332.3125401852,
BA,2911303,Gentio do Ouro,23113.4961197582,
BA,2911402,Glória,28737.5903406018,
BA,2911501,Gongogi,16375.132899483,
BA,2911600,Governador Mangabeira,39348.5868324672,
BA,2911659,Guajeru,14065.3704322906,
BA,2911709,Guanambi,164894.073238905,
BA,2911808,Guaratinga,44273.8705413085,
BA,2911857,Heliópolis,26119.7350625066,
BA,2911907,Iaçu,46259.2019424745,
BA,2912004,Ibiassucê,17921.1986414678,
BA,2912103,Ibicaraí,42600.3664093593,
BA,2912202,Ibicoara,41846.472637226,
BA,2912301,Ibicuí,28862.2278868306,
BA,2912400,Ibipeba,30322.8678948834,
BA,2912509,Ibipitanga,27165.3833904191,
BA,2912608,Ibiquera,8727.89588704447,
BA,2912707,Ibirapitanga,48561.4954930389,
BA,2912806,Ibirapuã,18816.5350222429,
BA,2912905,Ibirataia,34496.5918680376,
BA,2913002,Ibitiara,27285.8196710447,
BA,2913101,Ibititá,29028.8780890917,
BA,2913200,Ibotirama,50602.8437689145,
BA,2913309,Ichu,14237.1555147333,
BA,2913408,Igaporã,29951.7560999323,
BA,2913457,Igrapiúna,27154.6468227664,
BA,2913507,Iguaí,48196.9190001373,
BA,2913606,Ilhéus,308686.589774706,
BA,2913705,Inhambupe,78230.3663756878,
BA,2913804,Ipecaetá,29201.596786113,
BA,2913903,Ipiaú,82836.8207059736,
BA,2914000,Ipirá,101376.072198404,
BA,2914109,Ipupiara,16846.6082616221,
BA,2914208,Irajuba,14192.3420149657,
BA,2914307,Iramaia,17898.3250842948,
BA,2914406,Iraquara,46321.2873119443,
BA,2914505,Irará,58768.703679706,
BA,2914604,Irecê,128485.905521403,
BA,2914653,Itabela,65350.2196507944,
BA,2914703,Itaberaba,120187.939147754,
BA,2914802,Itabuna,389036.728050862,
BA,2914901,Itacaré,58333.6392861281,
BA,2915007,Itaeté,29495.6853783383,
BA,2915106,Itagi,27355.8407644317,
BA,2915205,Itagibá,33436.9393214477,
BA,2915304,Itagimirim,16780.321626549,
BA,2915353,Itaguaçu da Bahia,28641.428039017,
BA,2915403,Itaju do Colônia,14922.4286153474,
BA,2915502,Itajuípe,39982.0443239749,
BA,2915601,Itamaraju,112630.795942141,
BA,2915700,Itamari,17318.5504310504,
BA,2915809,Itambé,51099.9935319622,
BA,2915908,Itanagra,18762.3853766903,
BA,2916005,Itanhém,38638.1061382338,
BA,2916104,Itaparica,43946.1718242574,
BA,2916203,Itapé,18542.5191434551,
BA,2916302,Itapebi,24521.3869041261,
BA,2916401,Itapetinga,149018.424138916,
BA,2916500,Itapicuru,63128.6837612697,
BA,2916609,Itapitanga,22115.9289426382,
BA,2916708,Itaquara,16364.3963318303,
BA,2916807,Itarantim,40318.1455722325,
BA,2916856,Itatim,30454.9743577402,
BA,2916906,Itiruçu,21917.5358447083,
BA,2917003,Itiúba,76066.2477827403,
BA,2917102,Itororó,42055.1354955192,
BA,2917201,Ituaçu,36425.906394494,
BA,2917300,Ituberá,52892.06671538,
BA,2917334,Iuiú,22133.6676196295,
BA,2917359,Jaborandi,20178.2118849754,
BA,2917409,Jacaraci,27267.6141867641,
BA,2917508,Jacobina,131859.054993499,
BA,2917607,Jaguaquara,96713.1341861193,
BA,2917706,Jaguarari,62491.9586187372,
BA,2917805,Jaguaripe,38617.0998102177,
BA,2917904,Jandaíra,22285.3799886347,
BA,2918001,Jequié,292896.833215938,
BA,2918100,Jeremoabo,77831.7129506711,
BA,2918209,Jiquiriçá,28711.449132404,
BA,2918308,Jitaúna,29216.0678120796,
BA,2918357,João Dourado,46512.6783005354,
BA,2918407,Juazeiro,449872.921214642,
BA,2918456,Jucuruçu,17148.6325777646,
BA,2918506,Jussara,26413.823654732,
BA,2918555,Jussari,15524.1432111863,
BA,2918605,Jussiape,13629.3724241342,
BA,2918704,Lafaiete Coutinho,11093.2084216572,
BA,2918753,Lagoa Real,28329.133962511,
BA,2918803,Laje,48929.8064442545,
BA,2918902,Lajedão,10928.4254485531,
BA,2919009,Lajedinho,8659.27521552521,
BA,2919058,Lajedo do Tabocal,16330.7862070045,
BA,2919108,Lamarão,17948.7402715334,
BA,2919157,Lapão,51135.4708859449,
BA,2919207,Lauro de Freitas,466774.612736395,
BA,2919306,Lençóis,23410.8523630084,
BA,2919405,Licínio de Almeida,23297.8849990107,
BA,2919504,Livramento de Nossa Senhora,78729.3833678924,
BA,2919553,Luís Eduardo Magalhães,194252.984081494,
BA,2919603,Macajuba,21739.6822675054,
BA,2919702,Macarani,41106.1162764808,
BA,2919801,Macaúbas,88991.2080074014,
BA,2919900,Macururé,17824.1027253045,
BA,2919926,Madre de Deus,65340.8835050095,
BA,2919959,Maetinga,9819.75813659237,
BA,2920007,Maiquinique,22506.6466437376,
BA,2920106,Mairi,32039.7851047325,
BA,2920205,Malhada,30617.8901016873,
BA,2920304,Malhada de Pedras,16766.3174078716,
BA,2920403,Manoel Vitorino,26739.1883353369,
BA,2920452,Mansidão,24370.6081496994,
BA,2920502,Maracás,45630.8793311485,
BA,2920601,Maragogipe,84009.9074238505,
BA,2920700,Maraú,44548.3532273856,
BA,2920809,Marcionílio Souza,20490.0391541921,
BA,2920908,Mascote,30114.6718438794,
BA,2921005,Mata de São João,115833.560753662,
BA,2921054,Matina,21961.8825371868,
BA,2921104,Medeiros Neto,43226.8217915283,
BA,2921203,Miguel Calmon,47924.7703505065,
BA,2921302,Milagres,22269.9753480896,
BA,2921401,Mirangaba,33310.9013533511,
BA,2921450,Mirante,17484.267018733,
BA,2921500,Monte Santo,98418.8480210266,
BA,2921609,Morpará,16749.0455381695,
BA,2921708,Morro do Chapéu,63306.0705311834,
BA,2921807,Mortugaba,21293.4144989856,
BA,2921906,Mucugê,22206.489556752,
BA,2922003,Mucuri,105363.07325586,
BA,2922052,Mulungu do Morro,24079.7872084988,
BA,2922102,Mundo Novo,44344.825249274,
BA,2922201,Muniz Ferreira,15614.7038253002,
BA,2922250,Muquém de São Francisco,24028.4384066817,
BA,2922300,Muritiba,52159.1792712628,
BA,2922409,Mutuípe,40300.4068952411,
BA,2922508,Nazaré,63763.0748673558,
BA,2922607,Nilo Peçanha,28581.6767059934,
BA,2922656,Nordestina,28013.5722349802,
BA,2922706,Nova Canaã,32888.9075638722,
BA,2922730,Nova Fátima,16248.1613168079,
BA,2922755,Nova Ibiá,15285.1378790921,
BA,2922805,Nova Itarana,17963.2112975,
BA,2922854,Nova Redenção,18187.7456036277,
BA,2922904,Nova Soure,53247.773869786,
BA,2923001,Nova Viçosa,80321.6630315127,
BA,2923035,Novo Horizonte,22520.650862415,
BA,2923050,Novo Triunfo,27987.4310267824,
BA,2923100,Olindina,52844.9191791661,
BA,2923209,Oliveira dos Brejinhos,37686.7528827492,
BA,2923308,Ouriçangas,18175.6086141073,
BA,2923357,Ourolândia,33311.8349679296,
BA,2923407,Palmas de Monte Alto,41882.8836057872,
BA,2923506,Palmeiras,17249.4629522419,
BA,2923605,Paramirim,42285.2714891178,
BA,2923704,Paratinga,56595.7157482629,
BA,2923803,Paripiranga,49428.35662917,
BA,2923902,Pau Brasil,19859.3825064199,
BA,2924009,Paulo Afonso,242985.331042398,
BA,2924058,Pé de Serra,28474.3110294667,
BA,2924108,Pedrão,14182.0722546022,
BA,2924207,Pedro Alexandre,27187.7901403029,
BA,2924306,Piatã,32118.6755366152,
BA,2924405,Pilão Arcado,65888.9152625851,
BA,2924504,Pindaí,29638.0616015586,
BA,2924603,Pindobaçu,39518.9714930422,
BA,2924652,Pintadas,20519.4480134147,
BA,2924678,Piraí do Norte,20050.3066877218,
BA,2924702,Piripá,18777.7900172354,
BA,2924801,Piritiba,38208.6434321269,
BA,2924900,Planaltino,18264.3019990641,
BA,2925006,Planalto,47631.6153728596,
BA,2925105,Poções,80534.5271554092,
BA,2925204,Pojuca,87345.2455055177,
BA,2925253,Ponto Novo,33451.8771547036,
BA,2925303,Porto Seguro,329081.867049181,
BA,2925402,Potiraguá,18085.0479999934,
BA,2925501,Prado,65029.9898503712,
BA,2925600,Presidente Dutra,27186.8565257244,
BA,2925709,Presidente Jânio Quadros,23275.9450564161,
BA,2925758,Presidente Tancredo Neves,54048.348370844,
BA,2925808,Queimadas,51157.4108285395,
BA,2925907,Quijingue,54169.7182660481,
BA,2925931,Quixabeira,17870.7834542292,
BA,2925956,Rafael Jambeiro,42682.0576849775,
BA,2926004,Remanso,86428.4359894373,
BA,2926103,Retirolândia,27787.1706996956,
BA,2926202,Riachão das Neves,47543.8556024813,
BA,2926301,Riachão do Jacuípe,57752.4642110161,
BA,2926400,Riacho de Santana,62515.7657904888,
BA,2926509,Ribeira do Amparo,30452.1735140047,
BA,2926608,Ribeira do Pombal,97503.9057341031,
BA,2926657,Ribeirão do Largo,15100.7489998396,
BA,2926707,Rio de Contas,25049.3459482641,
BA,2926806,Rio do Antônio,26688.7731480983,
BA,2926905,Rio do Pires,20795.3311213594,
BA,2927002,Rio Real,76146.0718292015,
BA,2927101,Rodelas,25648.2597003675,
BA,2927200,Ruy Barbosa,56023.4100116465,
BA,2927309,Salinas da Margarida,31775.1053717297,
BA,2927408,Salvador,4151566.96517014,
BA,2927507,Santa Bárbara,38030.3230476347,
BA,2927606,Santa Brígida,26251.3747180742,
BA,2927705,Santa Cruz Cabrália,65740.9373518939,
BA,2927804,Santa Cruz da Vitória,14834.668844969,
BA,2927903,Santa Inês,17956.6759954506,
BA,2928000,Santaluz,72526.9149156723,
BA,2928059,Santa Luzia,25574.5041486665,
BA,2928109,Santa Maria da Vitória,87706.5543473946,
BA,2928208,Santana,49510.5147120774,
BA,2928307,Santanópolis,17744.2786788434,
BA,2928406,Santa Rita de Cássia,49946.979527523,
BA,2928505,Santa Teresinha,21692.5347312915,
BA,2928604,Santo Amaro,118042.492846377,
BA,2928703,Santo Antônio de Jesus,173284.000648535,
BA,2928802,Santo Estêvão,99278.2402405296,
BA,2928901,São Desidério,89250.2860529333,
BA,2928950,São Domingos,17392.7727900406,
BA,2929008,São Félix,29295.4250512515,
BA,2929057,São Félix do Coribe,29469.0773628513,
BA,2929107,São Felipe,35616.4625549403,
BA,2929206,São Francisco do Conde,171764.542922037,
BA,2929255,São Gabriel,37654.0763725019,
BA,2929305,São Gonçalo dos Campos,72764.9866331881,
BA,2929354,São José da Vitória,13360.9582328174,
BA,2929370,São José do Jacuípe,20103.9895259851,
BA,2929404,São Miguel das Matas,20768.2562985831,
BA,2929503,São Sebastião do Passé,85878.0701954155,
BA,2929602,Sapeaçu,41123.8549534722,
BA,2929701,Sátiro Dias,35739.6996793014,
BA,2929750,Saubara,26805.0081631207,
BA,2929800,Saúde,24084.9220886805,
BA,2929909,Seabra,81076.0236109353,
BA,2930006,Sebastião Laranjeiras,21758.8213663645,
BA,2930105,Senhor do Bonfim,135903.473347532,
BA,2930154,Serra do Ramalho,65050.9961783873,
BA,2930204,Sento Sé,87915.6840129771,
BA,2930303,Serra Dourada,31101.969260636,
BA,2930402,Serra Preta,28961.1910321509,
BA,2930501,Serrinha,154096.820638631,
BA,2930600,Serrolândia,26573.0049403651,
BA,2930709,Simões Filho,277161.693110012,
BA,2930758,Sítio do Mato,21066.5461564117,
BA,2930766,Sítio do Quinto,21122.5630311213,
BA,2930774,Sobradinho,54558.5687379906,
BA,2930808,Souto Soares,33260.9529734017,
BA,2930907,Tabocas do Brejo Velho,23776.3624704885,
BA,2931004,Tanhaçu,41069.2385006303,
BA,2931053,Tanque Novo,34405.0976393453,
BA,2931103,Tanquinho,14370.1955921686,
BA,2931202,Taperoá,43229.1558279745,
BA,2931301,Tapiramutá,34788.813231106,
