População Economicamente Ativa (PEA) - Total
Sigla,Código,Município,2010,
BA,2927002,Rio Real,17071,
BA,2927101,Rodelas,2785,
BA,2927200,Ruy Barbosa,12684,
BA,2927309,Salinas da Margarida,6736,
BA,2927408,Salvador,1441179,
BA,2927507,Santa Bárbara,7891,
BA,2927606,Santa Brígida,7296,
BA,2927705,Santa Cruz Cabrália,12215,
BA,2927804,Santa Cruz da Vitória,2039,
BA,2927903,Santa Inês,4315,
BA,2928000,Santaluz,15541,
BA,2928059,Santa Luzia,5492,
BA,2928109,Santa Maria da Vitória,17251,
BA,2928208,Santana,11101,
BA,2928307,Santanópolis,4236,
BA,2928406,Santa Rita de Cássia,10909,
BA,2928505,Santa Teresinha,3710,
BA,2928604,Santo Amaro,25178,
BA,2928703,Santo Antônio de Jesus,47894,
BA,2928802,Santo Estêvão,23823,
BA,2928901,São Desidério,11031,
BA,2928950,São Domingos,4883,
BA,2929008,São Félix,6865,
BA,2929057,São Félix do Coribe,5683,
BA,2929107,São Felipe,9631,
BA,2929206,São Francisco do Conde,15796,
BA,2929255,São Gabriel,7501,
BA,2929305,São Gonçalo dos Campos,16233,
BA,2929354,São José da Vitória,2031,
BA,2929370,São José do Jacuípe,4588,
BA,2929404,São Miguel das Matas,5431,
BA,2929503,São Sebastião do Passé,18651,
BA,2929602,Sapeaçu,7602,
BA,2929701,Sátiro Dias,9185,
BA,2929750,Saubara,5195,
BA,2929800,Saúde,4990,
BA,2929909,Seabra,20020,
BA,2930006,Sebastião Laranjeiras,4657,
BA,2930105,Senhor do Bonfim,32385,
BA,2930154,Serra do Ramalho,10626,
BA,2930204,Sento Sé,14707,
BA,2930303,Serra Dourada,7405,
BA,2930402,Serra Preta,6502,
BA,2930501,Serrinha,36908,
BA,2930600,Serrolândia,6002,
BA,2930709,Simões Filho,56229,
BA,2930758,Sítio do Mato,3504,
BA,2930766,Sítio do Quinto,5467,
BA,2930774,Sobradinho,8662,
BA,2930808,Souto Soares,7019,
BA,2930907,Tabocas do Brejo Velho,4341,
BA,2931004,Tanhaçu,9057,
BA,2931053,Tanque Novo,8232,
BA,2931103,Tanquinho,2963,
BA,2931202,Taperoá,8291,
BA,2931301,Tapiramutá,6341,
BA,2931350,Teixeira de Freitas,69043,
BA,2931400,Teodoro Sampaio,2978,
BA,2931509,Teofilândia,9362,
BA,2931608,Teolândia,6579,
BA,2931707,Terra Nova,4840,
BA,2931806,Tremedal,6539,
BA,2931905,Tucano,23186,
BA,2932002,Uauá,9761,
BA,2932101,Ubaíra,9557,
BA,2932200,Ubaitaba,8682,
BA,2932309,Ubatã,10375,
BA,2932408,Uibaí,5628,
BA,2932457,Umburanas,5865,
BA,2932507,Una,10678,
BA,2932606,Urandi,6466,
BA,2932705,Uruçuca,8422,
BA,2932804,Utinga,7969,
BA,2932903,Valença,43901,
BA,2933000,Valente,12942,
BA,2933059,Várzea da Roça,6586,
BA,2933109,Várzea do Poço,3939,
BA,2933158,Várzea Nova,5868,
BA,2933174,Varzedo,4546,
BA,2933208,Vera Cruz,16536,
BA,2933257,Vereda,2571,
BA,2933307,Vitória da Conquista,152770,
BA,2933406,Wagner,4002,
BA,2933455,Wanderley,5230,
BA,2933505,Wenceslau Guimarães,10394,
BA,2933604,Xique-Xique,18559,
BA,2999919,Trancoso,,
BA,2999929,Barcellos,,
BA,2999939,Olivença,,
BA,2999949,Villa Verde,,
CE,2300101,Abaiara,3759,
CE,2300150,Acarapé,5389,
CE,2300200,Acaraú,22668,
CE,2300309,Acopiara,20345,
CE,2300408,Aiuaba,6575,
CE,2300507,Alcântaras,4007,
CE,2300606,Altaneira,2059,
CE,2300705,Alto Santo,6688,
CE,2300754,Amontada,14694,
CE,2300804,Antonina do Norte,2547,
CE,2300903,Apuiarés,4978,
CE,2301000,Aquiraz,30968,
CE,2301109,Aracati,29830,
CE,2301208,Aracoiaba,10145,
CE,2301257,Ararendá,3621,
CE,2301307,Araripe,7143,
CE,2301406,Aratuba,4796,
CE,2301505,Arneiroz,3113,
CE,2301604,Assaré,8234,
CE,2301703,Aurora,8549,
CE,2301802,Baixio,2477,
CE,2301851,Banabuiú,5766,
CE,2301901,Barbalha,24503,
CE,2301950,Barreira,6672,
CE,2302008,Barro,7040,
CE,2302057,Barroquinha,4373,
CE,2302107,Baturité,13205,
CE,2302206,Beberibe,20783,
CE,2302305,Bela Cruz,13459,
CE,2302404,Boa Viagem,20206,
CE,2302503,Brejo Santo,17803,
CE,2302602,Camocim,23097,
CE,2302701,Campos Sales,11513,
CE,2302800,Canindé,24286,
CE,2302909,Capistrano,5339,
CE,2303006,Caridade,6320,
CE,2303105,Cariré,6287,
CE,2303204,Caririaçu,11868,
CE,2303303,Cariús,6354,
CE,2303402,Carnaubal,6633,
CE,2303501,Cascavel,28199,
CE,2303600,Catarina,7432,
CE,2303659,Catunda,3237,
CE,2303709,Caucaia,142634,
CE,2303808,Cedro,9215,
CE,2303907,Chaval,4323,
CE,2303931,Choró,3582,
CE,2303956,Chorozinho,7519,
CE,2304004,Coreaú,8151,
CE,2304103,Crateús,26882,
CE,2304202,Crato,54804,
CE,2304236,Croatá,5118,
CE,2304251,Cruz,10556,
CE,2304269,Deputado Irapuan Pinheiro,3720,
CE,2304277,Ererê,2725,
CE,2304285,Eusébio,21495,
CE,2304301,Farias Brito,7069,
CE,2304350,Forquilha,9307,
CE,2304400,Fortaleza,1223017,
CE,2304459,Fortim,5750,
CE,2304509,Frecheirinha,5136,
CE,2304608,General Sampaio,2216,
CE,2304657,Graça,4132,
CE,2304707,Granja,17764,
CE,2304806,Granjeiro,2018,
CE,2304905,Groaíras,4697,
CE,2304954,Guaiúba,9195,
CE,2305001,Guaraciaba do Norte,16772,
CE,2305100,Guaramiranga,1702,
CE,2305209,Hidrolândia,6835,
CE,2305233,Horizonte,24558,
CE,2305266,Ibaretama,4243,
CE,2305308,Ibiapina,10415,
CE,2305332,Ibicuitinga,3609,
CE,2305357,Icapuí,8052,
CE,2305407,Icó,23223,
CE,2305506,Iguatu,43970,
CE,2305605,Independência,10254,
CE,2305654,Ipaporanga,3159,
CE,2305704,Ipaumirim,4296,
CE,2305803,Ipu,15428,
CE,2305902,Ipueiras,13891,
CE,2306009,Iracema,5898,
CE,2306108,Irauçuba,6227,
CE,2306207,Itaiçaba,3503,
CE,2306256,Itaitinga,12966,
CE,2306306,Itapagé,19505,
CE,2306405,Itapipoca,48245,
CE,2306504,Itapiúna,6135,
CE,2306553,Itarema,15442,
CE,2306603,Itatira,5923,
CE,2306702,Jaguaretama,6205,
CE,2306801,Jaguaribara,4324,
CE,2306900,Jaguaribe,14538,
CE,2307007,Jaguaruana,15426,
CE,2307106,Jardim,9930,
CE,2307205,Jati,3637,
CE,2307254,Jijoca de Jericoacoara,7924,
CE,2307304,Juazeiro do Norte,113180,
CE,2307403,Jucás,7552,
CE,2307502,Lavras da Mangabeira,10156,
CE,2307601,Limoeiro do Norte,25120,
CE,2307635,Madalena,5525,
CE,2307650,Maracanaú,94324,
CE,2307700,Maranguape,45494,
CE,2307809,Marco,10096,
CE,2307908,Martinópole,3694,
CE,2308005,Massapê,13631,
CE,2308104,Mauriti,17183,
CE,2308203,Meruoca,5542,
CE,2308302,Milagres,10558,
CE,2308351,Milhã,4053,
CE,2308377,Miraíma,3531,
CE,2308401,Missão Velha,14835,
CE,2308500,Mombaça,16335,
CE,2308609,Monsenhor Tabosa,6553,
CE,2308708,Morada Nova,22755,
CE,2308807,Moraújo,3108,
CE,2308906,Morrinhos,7383,
CE,2309003,Mucambo,4858,
CE,2309102,Mulungu,4286,
CE,2309201,Nova Olinda,5787,
CE,2309300,Nova Russas,13323,
CE,2309409,Novo Oriente,9169,
CE,2309458,Ocara,7694,
CE,2309508,Orós,8854,
CE,2309607,Pacajus,28728,
CE,2309706,Pacatuba,31658,
CE,2309805,Pacoti,4948,
CE,2309904,Pacujá,2491,
CE,2310001,Palhano,4005,
CE,2310100,Palmácia,3560,
CE,2310209,Paracuru,13241,
CE,2310258,Paraipaba,13216,
CE,2310298,Cococi,,
CE,2310308,Parambu,11690,
CE,2310407,Paramoti,3460,
CE,2310506,Pedra Branca,13884,
